12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Blixt;Pia Liselott;Dansk Folkeparti;22.02.1965;28.06.2020;;;;;;;
;Christensen ;René;Dansk Folkeparti;31.10.1970;03.10.2019;;;;;;;
;Dahl;Kristian Thulesen  ;Dansk Folkeparti;30.07.1969;29.12.2017;;;;;;;
;Ebbesen;Carl Christian;Dansk Folkeparti;31.07.1968;29.12.2017;;;;;;;
;Henriksen;Martin;Dansk Folkeparti;25.01.1980;29.12.2017;;;;;;;
;Vornøe;Jens;Dansk Folkeparti;27.05.1970;05.10.2021;;;;;;;
;Kofod;Peter;Dansk Folkeparti;27.02.1990;08.12.2020;;;;;;;
;Messerschmidt ;Morten ;Dansk Folkeparti;13.11.1980;30.09.2020;;;;;;;
;Skaarup;Peter;Dansk Folkeparti;01.05.1964;29.12.2017;;;;;;;
;Larsen;Merete Dea;Dansk Folkeparti;19.04.1978;05.10.2021;;;;;;;
;Weische ;Tobias Larsen ;Dansk Folkeparti;28.12.1997;05.05.2020;;;;;;;
;Blenker;Morten;Venstre;04.11.1956;12.02.2020;;;;;;;
;Brunse;Mikkel Lyng Rahbek;Venstre;19.08.1974;03.10.2019;;;;;;;
;Christensen;Kenn Risbjerg;Venstre;10.06.1974;29.12.2017;;;;;;;
;Lydolph;Martin L. Damm;Venstre;17.02.1963;29.12.2017;;;;;;;
;Ellemann-Jensen;Jakob;Venstre;25.09.1973;29.12.2017;;;;;;;
;Frederiksen;Claus Hjort;Venstre;04.09.1947;29.12.2017;;;;;;;
;Greve;Hanne Fjeldsø;Venstre;18.05.1967;08.08.2019;;;;;;;
;Gæmelke;Peter;Venstre;07.01.1955;29.12.2017;;;;;;;
;Ive;Jens Bo;Venstre;04.12.1954;29.12.2017;;;;;;;
;Jacquerot;Kate;Venstre;08.12.1968;29.12.2017;;;;;;;
;Jensen;Elo;Venstre;28.11.1957;29.12.2017;;;;;;;
